자치구,법정동,일자,전이,계열,근거공고
용산구,용산동3가,2020-05-20,지정 시작,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,이촌동,2020-05-20,지정 시작,미분류|서울전역아파트|외국인|용산정비창|자연녹지|주요재건축단지,국토교통부공고제2020-657호(토지거래허가구역 지정)|국토교통부공고제2021-658호(토지거래허가구역 재지정 공고)|국토교통부공고제2022-532호(토지거래허가구역 재지정 공고)|국토교통부공고제2023-487호(토
용산구,한강로1가,2020-05-20,지정 시작,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,한강로2가,2020-05-20,지정 시작,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
용산구,한강로3가,2020-05-20,지정 시작,용산정비창|자연녹지,국토교통부공고제2020-657호(토지거래허가구역 지정)
강남구,대치동,2020-06-23,지정 시작,국제교류복합지구,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5
강남구,삼성동,2020-06-23,지정 시작,국제교류복합지구,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5
강남구,청담동,2020-06-23,지정 시작,공공재개발|국제교류복합지구|서울전역아파트|신속통합기획|외국인|정비사업후보지|주요재건축단지,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고)|국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문)|국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고)|시보2020호3590_p
송파구,잠실동,2020-06-23,지정 시작,국제교류복합지구|주요재건축단지,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5|시보20250319_p3-8
강서구,오곡동,2020-12-26,지정 시작,미분류,국토교통부공고제2020-1632호(토지거래허가구역 재지정)|국토교통부공고제2021-1805호(토지거래허가구역  재지정 공고)|국토교통부공고제2022-1566호(토지거래허가구역 재지정 공고)|국토교통부공고제2023-1
