자치구,법정동,연월,상태,계열,지정방식,지정일수비율
강남구,개포동,2023-12,지정,신속통합기획|정비사업후보지|주요재건축단지,혼합,0.167
강남구,개포동,2024-01,지정,신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-02,지정,신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-03,지정,신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-04,지정,신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-05,지정,신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-06,지정,신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-07,지정,신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-08,지정,국제교류복합지구|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-09,지정,국제교류복합지구|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-10,지정,국제교류복합지구|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-11,지정,국제교류복합지구|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2024-12,지정,국제교류복합지구|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-01,불명,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,,0.8
강남구,개포동,2025-02,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-03,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-04,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-05,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-06,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-07,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-08,지정,공공재개발|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-09,지정,공공재개발|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-10,지정,공공재개발|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-11,지정,공공재개발|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2025-12,지정,공공재개발|모아타운|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2026-01,지정,공공재개발|모아타운|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2026-02,지정,공공재개발|모아타운|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2026-03,지정,공공재개발|모아타운|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2026-04,지정,공공재개발|모아타운|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2026-05,지정,공공재개발|모아타운|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
강남구,개포동,2026-06,지정,공공재개발|모아타운|미분류|신속통합기획|외국인|정비사업후보지|주요재건축단지,혼합,1.0
