자치구,법정동,시작일,종료일,상태,계열,지정방식,면적기준_㎡,구역면적_㎢,공고건수,근거공고
강남구,개포동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,2.74,1,시보20240808_p4-7
강남구,개포동,2025-01-01,2026-08-17,불명,,,,,0,
강남구,개포동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,3.11,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
강남구,대치동,2020-06-23,2025-06-22,지정,국제교류복합지구,동전체,18→6,9.2,5,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5
강남구,삼성동,2020-06-23,2025-06-22,지정,국제교류복합지구,동전체,18→6,9.2,5,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5
강남구,세곡동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,2.74,1,시보20240808_p4-7
강남구,세곡동,2025-01-01,2026-08-17,불명,,,,,0,
강남구,세곡동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,3.11,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
강남구,수서동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,2.74,1,시보20240808_p4-7
강남구,수서동,2025-01-01,2026-08-17,불명,,,,,0,
강남구,수서동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,3.11,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
강남구,압구정동,2021-04-27,2026-04-26,지정,모아타운|신속통합기획|정비사업후보지|주요재건축단지,동전체,18→6,1.149476,5,시보20210422_p253-257|시보20220420_p356-360|시보20230419_p263-267|시보20240418_p342-346|시보20250409_p451-469
강남구,율현동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,2.74,1,시보20240808_p4-7
강남구,율현동,2025-01-01,2025-03-23,불명,,,,,0,
강남구,율현동,2025-03-24,2025-09-30,지정,국제교류복합지구|주요재건축단지,동전체,6,32.14,1,시보20250319_p3-8
강남구,율현동,2025-10-01,2026-08-17,불명,,,,,0,
강남구,율현동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,3.11,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
강남구,일원동,2022-01-29,2023-01-28,지정,미분류,일부,18,0.053922,2,시보20220124_p7-53
강남구,일원동,2023-01-29,2024-08-12,불명,,,,,0,
강남구,일원동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,2.74,1,시보20240808_p4-7
강남구,일원동,2025-01-01,2025-03-23,불명,,,,,0,
강남구,일원동,2025-03-24,2025-09-30,지정,국제교류복합지구|주요재건축단지,동전체,6,32.14,1,시보20250319_p3-8
강남구,일원동,2025-10-01,2026-08-17,불명,,,,,0,
강남구,일원동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,3.11,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
강남구,자곡동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,2.74,1,시보20240808_p4-7
강남구,자곡동,2025-01-01,2025-03-23,불명,,,,,0,
강남구,자곡동,2025-03-24,2025-09-30,지정,국제교류복합지구|주요재건축단지,동전체,6,32.14,1,시보20250319_p3-8
강남구,자곡동,2025-10-01,2026-08-17,불명,,,,,0,
강남구,자곡동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,3.11,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
강남구,청담동,2020-06-23,2026-12-31,지정,공공재개발|국제교류복합지구|신속통합기획|정비사업후보지|주요재건축단지,동전체,18→6,39.5,7,시보2020호3590_p105-107|시보20210609_p356-358|시보20220616_p3-5|시보20230614_p532-534|시보20240613_p3-5|시보20250319_p3-8|시보20250925_
강동구,강일동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,8.16,1,시보20240808_p4-7
강동구,고덕동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,8.16,1,시보20240808_p4-7
강동구,길동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,8.16,1,시보20240808_p4-7
강동구,둔촌동,2024-08-13,2029-09-09,지정,국제교류복합지구|모아타운|주요재건축단지,동전체,60→6,8.16,2,시보20240808_p4-7|시보20240905_p3-79
강동구,명일동,2023-01-26,2025-01-25,지정,공공재개발|국제교류복합지구|신속통합기획|정비사업후보지,혼합,6→60,8.16,3,시보20230118_p234-257|시보20240118_p119-141|시보20240808_p4-7
강동구,상일동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,8.16,1,시보20240808_p4-7
강동구,암사동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,8.16,1,시보20240808_p4-7
