연번,공고번호,공고일,지정구분,내용,공고문,토지조서
1,서울특별시 공고 제2026-2452호,2026-08-27,모아타운,신규지정,O,O
2,국토교통부 공고 제2026-1105호,2026-08-20,외국인 대상 주택용도,재지정,O,
3,국토교통부 공고 제2026-1079호,2026-08-13,신규 주택공급 후보지 발굴(개발제한구역),신규지정,O,O
4,서울특별시 공고 제2026-2289호,2026-08-06,"모아타운/신속통합기획/공공재개발","신규지정,조정,해제,재지정",O,O
5,서울특별시 공고 제2026-1910호,2026-06-25,모아타운/신속통합기획,"신규지정,조정",O,O
6,서울특별시 공고 제2026-1510호,2026-05-14,"모아타운/신속통합기획/강남서초 자연녹지/잠실삼성대치청담 재건축","신규지정,조정,재지정",O,O
7,서울특별시 공고 제2026-1141호,2026-04-09,"압구정여의도목동성수 주요재건축/신속통합기획","재지정,조정",O,O
8,서울특별시 공고 제2026-767호,2026-03-12,신속통합기획/공공재개발,"신규지정,재지정,조정",O,O
9,서울특별시 공고 제2026-456호,2026-02-12,모아타운/신속통합기획/공공재개발,"신규지정,해제,조정",O,O
10,서울특별시 공고 제2026-5호,2026-01-02,신속통합기획/공공재개발,"신규지정,조정,해제",O,O
11,국토교통부 공고 제2025-1583호,2025-12-26,용산 국제업무지구 및 인근지역(용산정비창),재지정,O,
12,서울특별시 공고 제2025-3548호,2025-12-18,모아타운/신속통합기획/공공재개발,"신규지정,조정,재지정",O,O
13,서울특별시 공고 제2025-3142호,2025-11-06,신속통합기획,"신규지정,조정",O,O
14,국토교통부 공고 제2025-1219호,2025-10-15,서울시 전역 아파트,신규지정,O,
15,서울특별시 공고 제2025-2774호,2025-09-25,"강남서초송파용산 아파트/신속통합기획/공공재개발","재지정,신규지정",O,O
16,서울특별시 공고 제2025-2530호,2025-08-28,모아타운/신속통합기획/공공재개발,"신규지정,해제,조정",O,O
17,서울특별시 공고 제2025-1157호,2025-04-10,"모아타운/신속통합기획/압구정여의도목동성수","신규지정,조정,재지정",O,O
18,서울특별시 공고 제2025-399호,2025-02-13,모아타운/신속통합기획/공공재개발,"신규지정,조정,해제",O,O
19,서울특별시 공고 제2024-2557호,2024-09-05,모아타운,신규지정,O,O
