notice_no,title,issuer,notice_date,effective_date,filename,source_url,downloaded_at,status
2020-1832,국제교류복합지구 및 인근지역 토지거래허가구역 지정,서울특별시,2020-06-18,2020-06-23,,https://www.gangnam.go.kr/board/B_000046/1074589/view.do?mid=ID05_0410,,미확보
2021-1667,토지거래허가구역 재지정,서울특별시,2021-06-10,2021-06-23,,,,미확보
2022-1795,토지거래허가구역 재지정,서울특별시,2022-06-17,2022-06-23,,,,미확보
2025-0497,토지거래허가구역 조정 공고 (부분해제),서울특별시,2025-02-13,2025-02-13,,https://www.gangnam.go.kr/board/B_000046/1074995/view.do?mid=ID05_0410,,미확보
2025-0953,강남3구·용산 전체 아파트 확대지정,서울특별시,2025-03-19,2025-03-24,,https://www.gangnam.go.kr/board/B_000046/1075005/view.do?mid=ID05_0410,,미확보
2025-1157,압구정·여의도·목동·성수 재지정,서울특별시,2025-04-10,2025-04-27,,https://www.gangnam.go.kr/board/B_000046/1075019/view.do?mid=ID05_0410,,미확보
2025-1831,재건축 유지단지 재지정 (면적 정정 포함),서울특별시,2025-06-12,2025-06-23,,https://www.gangnam.go.kr/board/B_000046/1075038/view.do?mid=ID05_050209,,미확보
2025-2774,강남3구·용산 재지정,서울특별시,2025-09-25,2025-10-01,,,,미확보
2021-XXXX,공공재개발 후보지 8곳 지정,서울특별시,,2021-01-26,,,,미확보
2021-XXXX,신속통합기획 등 16+12곳 지정,서울특별시,,2021-04-04,,,,미확보
2022-XXXX,신속통합기획 17곳 지정,서울특별시,,2022-01-02,,,,미확보
2022-XXXX,신속통합기획 10곳 지정,서울특별시,,2022-01-29,,,,미확보
2022-XXXX,공공재개발·신통기획 16곳 지정,서울특별시,,2022-08-31,,,,미확보
2023-XXXX,신속통합기획 32곳 지정,서울특별시,,2023-01-04,,,,미확보
