기관,공고번호,공고일,효력일,종료일,행위,서울자치구,주거지역기준_㎡초과,쪽수,파일
국토교통부,2020-1632,2020-12-16,2020-12-26,2021-12-25,재지정,,180,9,국토교통부공고제2020-1632호(토지거래허가구역 재지정).pdf
국토교통부,2020-657,2020-05-15,2020-05-20,2021-05-19,지정,용산구,18,38,국토교통부공고제2020-657호(토지거래허가구역 지정).pdf
국토교통부,2021-1805,2021-12-16,2021-12-26,2022-12-25,재지정,강서구,180,1,국토교통부공고제2021-1805호(토지거래허가구역  재지정 공고).pdf
국토교통부,2021-657,2021-04-30,,,재지정,강서구,180,8,국토교통부공고제2021-657호(토지거래허가구역 재지정 공고).pdf
국토교통부,2021-658,2021-04-30,2021-05-20,2022-05-19,재지정,용산구,18,2,국토교통부공고제2021-658호(토지거래허가구역 재지정 공고).pdf
국토교통부,2022-1566,2022-12-19,2022-12-26,2023-12-25,재지정,강서구,60,2,국토교통부공고제2022-1566호(토지거래허가구역 재지정 공고).pdf
국토교통부,2022-531,,,,조정,강서구,,298,국토교통부공고제2022-531호(토지거래허가구역 조정 공고).pdf
국토교통부,2022-532,2022-04-28,2022-05-20,2023-05-19,재지정,용산구,6,2,국토교통부공고제2022-532호(토지거래허가구역 재지정 공고).pdf
국토교통부,2023-1581,2023-12-18,2023-12-26,2024-12-25,조정,강서구,60,10,국토교통부공고제2023-1581호(토지거래허가구역 조정 공고).pdf
국토교통부,2023-486,2023-04-27,2023-05-13,2024-05-12,조정,강서구,60,8,국토교통부공고제2023-486호(토지거래허가구역 조정 공고).pdf
국토교통부,2023-487,2023-04-27,2023-05-20,2024-05-19,재지정,용산구,6,2,국토교통부공고제2023-487호(토지거래허가구역 재지정 공고).pdf
국토교통부,2024-1140,2024-08-08,2024-08-13,2024-12-31,지정,송파구,60,4,국토교통부공고제2024-1140호(토지거래허가구역 지정 공고).pdf
국토교통부,2024-1506,2024-11-05,2024-11-10,2029-11-09,해제,송파구,60,9,국토교통부공고제2024-1506호(토지거래허가구역 지정 및 해제 공고).pdf
국토교통부,2024-635,2024-04-26,2024-05-13,2025-12-31,재지정,강서구,60,8,국토교통부공고제2024-635호(토지거래허가구역 재지정 공고).pdf
국토교통부,2024-703,2024-05-10,2024-05-20,2025-12-31,조정,용산구,6,4,국토교통부공고제2024-703호(토지거래허가구역 조정 공고).pdf
국토교통부,2025-1058,2025-08-21,2025-08-26,2026-08-25,지정,중구,6,3,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고).pdf
국토교통부,2025-1219,2025-10-15,2025-10-20,2026-12-31,지정,용산구|성동구|광진구|성북구|노원구|은평구|서대문구|강서구|구로구|동작구|관악구,6,4,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문).pdf
국토교통부,2025-1583,2025-12-26,2026-01-01,2026-12-31,재지정,용산구,6,2,국토교통부공고제2025-1583호(토지거래허가구역 재지정 공고문).pdf
국토교통부,2026-1079,2026-08-13,2026-08-18,2026-12-31,지정,종로구|광진구|중랑구|성북구|강북구|도봉구|노원구|은평구|서대문구|마포구|양천구|강서구|구로구|금천구|관악구|서초구|강남구|송파구|강동구,60,3,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고).pdf
국토교통부,2026-1105,2026-08-20,2026-08-26,2027-08-25,재지정,,6,3,국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고).pdf
서울특별시,2020-1832,2020-06-18,2020-06-23,2021-06-22,지정,강남구|송파구,18,3,시보2020호3590_p105-107.pdf
서울특별시,2021-1223,2021-04-22,2021-04-27,2022-04-26,지정,성동구|양천구|영등포구|강남구,18,5,시보20210422_p253-257.pdf
서울특별시,2021-156,2021-01-21,2021-01-26,2022-01-25,지정,종로구|동대문구|강북구|영등포구|동작구|관악구,18,9,시보20210121_p185-193.pdf
서울특별시,2021-1667,2021-06-10,,,지정,강남구|송파구,18,3,시보20210609_p356-358.pdf
