공고번호,공고일,시보발행,구분,행위,관련자치구,본문길이,파일
2026-2289,2026-08-06,20260805,주요재건축단지|신속통합기획|공공재개발|모아타운,재지정|지정|해제|조정,강동구|광진구|동작구|서초구|용산구,5027,시보20260805_p377-447.pdf
2026-1910,2026-06-25,20260624,신속통합기획|모아타운,지정|조정,광진구|동작구|서초구|송파구|용산구,1095,시보20260624_p721-728.pdf
2026-1510,2026-05-14,20260513,신속통합기획|공공재개발|모아타운|자연녹지,재지정|지정|조정,강남구|강동구|광진구|동작구|서초구|성동구|송파구|용산구,3504,시보20260513_p313-367.pdf
2026-767,2026-03-12,20260316,주요재건축단지|신속통합기획|공공재개발,재지정|지정|조정,강동구|광진구|동작구|송파구|용산구,3024,시보20260316_p419-470.pdf
2026-456,2026-02-12,20260211,주요재건축단지|신속통합기획|공공재개발|모아타운,지정|해제|조정,성동구,1639,시보20260211_p499-512.pdf
2026-5,2026-01-02,20251231,신속통합기획|공공재개발,지정|해제|조정,성동구,1739,시보20251231_p134-146.pdf
2025-3548,2025-12-18,20251217,주요재건축단지|신속통합기획|공공재개발|모아타운,재지정|지정|조정,강남구|강동구|광진구|동작구|성동구|송파구|용산구,6237,시보20251217_p614-692.pdf
2025-3142,2025-11-06,20251106,신속통합기획,지정|조정,용산구,1389,시보20251106_p1135-1144.pdf
2025-2774,2025-09-25,20250925,주요재건축단지|신속통합기획|공공재개발,재지정|지정|해제|조정,강남구|동작구|서초구|송파구|용산구,2094,시보20250925_p151-164.pdf
2024-3502,2025-08-28,20250827,신속통합기획|공공재개발|모아타운,지정|해제|조정,강동구|광진구|동작구|서초구|성동구,2034,시보20250827_p1056-1070.pdf
2025-2530,2025-08-27,20250827,,지정|해제|조정,,105,시보20250827_p1056-1070.pdf
2025-1831,2025-06-12,20250611,신속통합기획,재지정|지정|조정,강남구|송파구|용산구,2569,시보20250611_p206-233.pdf
2025-1497,2025-05-15,20250514,,재지정|지정,강남구|서초구,846,시보20250514_p256-258.pdf
2025-1157,2025-04-10,20250409,주요재건축단지|신속통합기획|모아타운,재지정|지정|조정,강남구|광진구|성동구,2161,시보20250409_p451-469.pdf
2025-903,2025-04-03,20250403,,지정,,404,시보20250403_p3-4.pdf
2025-903,2025-04-03,20250403,신속통합기획,재지정|지정|조정,,298,시보20250403_p3-4.pdf
2025-1138,2025-04-03,20250403,,,,65,시보20250403_p3-4.pdf
2025-953,2025-03-19,20250319,주요재건축단지,지정,강남구|서초구|송파구|용산구,1103,시보20250319_p3-8.pdf
2025-903,2025-03-14,20250314,신속통합기획|공공재개발,재지정|지정|조정,강동구|광진구|동작구|성동구|송파구|용산구,3872,시보20250314_p3-51.pdf
2025-497,2025-02-13,20250213,국제교류복합지구|주요재건축단지|신속통합기획,지정|해제|조정,강남구|강동구|송파구,2068,시보20250213_p3-25.pdf
2025-399,2025-02-13,20250212,주요재건축단지|신속통합기획|공공재개발|모아타운,지정|조정,광진구|서초구,2606,시보20250212_p403-428.pdf
2024-3502,2024-12-19,20241218,주요재건축단지|신속통합기획|공공재개발,재지정|지정|조정,강남구|강동구|광진구|동작구|성동구|송파구|용산구,6216,시보20241218_p364-437.pdf
2024-3079,2024-11-14,20241114,신속통합기획,지정,동작구,717,시보20241114_p608-610.pdf
2024-2825,2024-10-17,20241017,신속통합기획,지정|조정,송파구|용산구,1218,시보20241017_p245-252.pdf
2024-2557,2024-09-26,20240925,주요재건축단지,지정,,928,시보20240925_p538-545.pdf
2024-2697,2024-09-25,20240925,,,,65,시보20240925_p538-545.pdf
2024-2557,2024-09-05,20240905,주요재건축단지|모아타운,지정,강동구|광진구|동작구|성동구|송파구|용산구,2899,시보20240905_p3-79.pdf
2024-2316,2024-08-08,20240808,,조정,,75,시보20240808_p4-7.pdf
2024-2315,2024-08-08,20240808,주요재건축단지,지정,강남구|강동구|광진구|서초구,1210,시보20240808_p4-7.pdf
2024-2249,2024-08-01,20240731,주요재건축단지|신속통합기획|공공재개발,재지정|지정|조정,강동구|서초구|성동구|용산구,2336,시보20240731_p291-312.pdf
2024-1658,2024-07-25,20240724,신속통합기획,재지정|지정,,620,시보20240724_p339-341.pdf
