기관,파일,공고일,효력일,종료일,계열,행위,근거공고,지정지역_문장,동별면적,주거기준_㎡초과,텍스트길이
국토교통부,국토교통부공고제2026-1105호(토지거래허가구역 재지정 공고).pdf,2026-08-20,2026-08-26,2027-08-25,주요재건축단지|외국인,재지정,2026-1105|2025-1058,,,6,1589
국토교통부,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고).pdf,2026-08-13,2026-08-18,2026-12-31,주요재건축단지,지정,2026-1079|2025-1219|2025-1058,,,60,2488
서울특별시,시보20260805_p377-447.pdf,2026-08-06,2026-08-11,2031-08-10,주요재건축단지|신속통합기획|공공재개발|모아타운,해제,2026-2289,,,6,4992
서울특별시,시보20260624_p721-728.pdf,2026-06-25,2026-06-30,2031-06-29,신속통합기획|모아타운,조정,2026-1910,,,6,1124
서울특별시,시보20260513_p313-367.pdf,2026-05-14,2026-05-19,2031-05-18,국제교류복합지구|신속통합기획|공공재개발|모아타운|자연녹지,조정,2026-1510,,,6,3486
서울특별시,시보20260316_p419-470.pdf,2026-03-12,2026-03-17,2027-04-03,주요재건축단지|신속통합기획|공공재개발,조정,2026-767,,,6,3009
서울특별시,시보20260211_p499-512.pdf,2026-02-12,2026-02-17,2031-02-16,주요재건축단지|신속통합기획|공공재개발|모아타운,해제,2026-456,,,6,1662
서울특별시,시보20251231_p134-146.pdf,2026-01-02,2026-01-07,2027-01-28,신속통합기획|공공재개발,해제,2026-5,,,6,1762
국토교통부,국토교통부공고제2025-1583호(토지거래허가구역 재지정 공고문).pdf,2025-12-26,2026-01-01,2026-12-31,용산정비창,재지정,2025-1583|2024-703,,,6,720
서울특별시,시보20251217_p614-692.pdf,2025-12-18,2025-12-26,2027-01-28,주요재건축단지|신속통합기획|공공재개발|모아타운,조정,2025-3548,,,6,6196
서울특별시,시보20251106_p1135-1144.pdf,2025-11-06,2025-11-11,2027-01-28,신속통합기획,조정,2025-3142,,,6,1417
국토교통부,국토교통부공고제2025-1219호(토지거래허가구역 지정 공고문).pdf,2025-10-15,2025-10-20,2026-12-31,미분류,지정,2025-1219,,,6,1805
서울특별시,시보20250925_p151-164.pdf,2025-09-25,2025-10-01,2026-12-31,국제교류복합지구|주요재건축단지|신속통합기획|공공재개발,해제,2025-2774,,,6,2117
서울특별시,시보20250827_p1056-1070.pdf,2025-08-28,2025-09-02,2030-09-01,신속통합기획|공공재개발|모아타운,해제,2025-2530|2024-3502,,,6,2162
국토교통부,국토교통부공고제2025-1058호(토지거래허가구역 지정 공고).pdf,2025-08-21,2025-08-26,2026-08-25,외국인,지정,2025-1058,,,6,1003
서울특별시,시보20250514_p256-258.pdf,2025-05-15,2025-05-31,2026-05-30,국제교류복합지구,재지정,2025-1497,,수서동:0.87|개포동:1.21|세곡동:1.16|율현동:0.53|자곡동:0.79|일원동:0.68|대치동:0.11|양재동:1.26|우면동:2.98|방배동:1.35|내곡동:6.20|신원동:2.12,60,880
서울특별시,시보20250409_p451-469.pdf,2025-04-10,2025-04-27,2026-04-26,주요재건축단지|신속통합기획|모아타운,조정,2025-1157,,,6,2179
서울특별시,시보20250319_p3-8.pdf,2025-03-19,2025-03-24,2025-09-30,국제교류복합지구|주요재건축단지,지정,2025-953,,,6,1136
서울특별시,시보20250403_p3-4.pdf,2025-04-03,2025-03-19,2026-04-03,신속통합기획,조정,2025-1138|2025-903|2025-903,,,6,807
