파일,계열,효력일,종료일,자치구,법정동,지번,단위,면적_km2,면적공유
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,강남구,대치동,,법정동,9.2,True
시보20250213_p3-25,국제교류복합지구|신속통합기획,,,강남구,대치동,,법정동,13.04,True
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,강남구,삼성동,,법정동,9.2,True
시보20250213_p3-25,국제교류복합지구|신속통합기획,,,강남구,삼성동,,법정동,13.04,True
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,강남구,일원동,630,법정동,0.042,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,강남구,일원동,649,법정동,0.053,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,강남구,청담동,,법정동,9.2,True
시보20250213_p3-25,국제교류복합지구|신속통합기획,,,강남구,청담동,,법정동,13.04,True
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,강동구,고덕동,536,법정동,0.05,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,강동구,상일동,300,법정동,0.059,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,강북구,수유동,391,법정동,0.035,False
시보20250213_p3-25,국제교류복합지구|신속통합기획,,,강서구,방화동,589-13,법정동,0.035,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,관악구,신림동,650,법정동,0.103,False
시보20250611_p206-233,국제교류복합지구|신속통합기획|정비사업후보지,,,관악구,신림동,610-200,법정동,,False
시보20250611_p206-233,국제교류복합지구|신속통합기획|정비사업후보지,,,관악구,신림동,119-1,법정동,,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,구로구,개봉동,70-54,법정동,0.094,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,구로구,개봉동,49,법정동,0.023,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,구로구,오류동,168-9,법정동,0.012,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,금천구,독산동,378,법정동,0.152,False
시보20250611_p206-233,국제교류복합지구|신속통합기획|정비사업후보지,,,금천구,독산동,380,법정동,,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,도봉구,방학동,641,법정동,0.076,False
시보20250611_p206-233,국제교류복합지구|신속통합기획|정비사업후보지,,,도봉구,쌍문동,26,법정동,,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,동대문구,전농동,124-39,법정동,0.026,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,동대문구,전농동,152-65,법정동,0.065,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,동대문구,휘경동,295,법정동,0.066,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,동작구,사당동,63-1,법정동,0.038,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,동작구,흑석동,204,법정동,0.046,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,서대문구,홍은동,8-1093,법정동,0.027,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,서대문구,홍제동,298-9,법정동,0.026,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,서대문구,홍제동,5,법정동,0.029,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,성북구,삼선동1가,280,법정동,0.056,False
시보20231116_p3-8,국제교류복합지구|신속통합기획|공공재개발|정비사업후보지,,,성북구,성북동,3-38,법정동,0.068,False
시보20250611_p206-233,국제교류복합지구|신속통합기획|정비사업후보지,,,성북구,장위동,219-90,법정동,,False
