k,coef,se
-8,0.021565372530510017,0.013783295416188243
-7,0.02548194744780977,0.01513647104000273
-6,0.003634889804028761,0.00983345788873918
-5,0.024304651055257788,0.010343152509510706
-4,0.03317475056802382,0.01192335698362391
-3,0.037838381038497106,0.01228736148556191
-2,0.016734646751195258,0.008758450140628874
-1,0.0,0.0
0,0.00495731622119379,0.012099575853099176
1,-0.010915299148233975,0.012760937577705135
2,-0.06955656614033026,0.02681103300274319
3,-0.05866616725804298,0.02280584408281692
4,-0.08600395858988105,0.028070899652733256
5,-0.0649846825248094,0.032098549262233156
6,-0.06883923021952218,0.03440630305652255
7,-0.06798214012476952,0.022276048064067397
8,-0.019078084424811837,0.028401327075673218
