k,coef,se
-8,0.0848538368090165,0.11745247137574644
-7,-0.17436883441896556,0.2414952758404716
-6,0.2349460027254993,0.16189187292386578
-5,0.2697954925617382,0.13328550428150968
-4,0.16581979950283807,0.13956445795084232
-3,0.02263901894216891,0.13410854197870986
-2,-0.32536820648927633,0.14543543853534505
-1,0.0,0.0
0,-0.8847255156301347,0.27497961208249716
1,-0.9547935716504035,0.2707601616435897
2,-0.448885315769478,0.1820652785360449
3,-0.25933447996631853,0.1633752141979778
4,-0.16516538294525715,0.2102399324514546
5,0.08319188341882988,0.28224447715403655
6,0.2534507589788398,0.29919222049367306
7,0.1333865986068521,0.28534309118814843
8,0.15428402782538503,0.24212754235100753
